address,new_house_no,new_street_no,village_phum,commune_khum,district_srok,new_province
"#0, St.0, Lekh Pir, Kampong Leav, Prey Veng, Prey Veng Province",#0,St.0,Lekh Pir,Kampong Leav,Prey Veng,Prey Veng Province
"Khleang Sbaek, Kampong Luong, Ponhea Lueu, Kandal Province",,,Khleang Sbaek,Kampong Luong,Ponhea Lueu,Kandal Province
"#, St., La Edth, Kampong Pranak, Preah Vihear, Preah Vihear Province",#,St.,La Edth,Kampong Pranak,Preah Vihear,Preah Vihear Province
"St.05, Kbal Thnal, Kampong Preah, Sangkae, Battambang Province",,St.05,Kbal Thnal,Kampong Preah,Sangkae,Battambang Province
"St.05, Kbal Thnal, Kampong Prieng, Sangkae, Battambang Province",,St.05,Kbal Thnal,Kampong Prieng,Sangkae,Battambang Province
"#, St., Kampong Samnanh, Ta Khmau, Kandal Province",#,St.,,Kampong Samnanh,Ta Khmau,Kandal Province
"#, St., Kampong Soeng, Preah Sdach, Prey Veng Province",#,St.,,Kampong Soeng,Preah Sdach,Prey Veng Province
"St.9, Souphi, Kampong Svay, Serei Saophoan, Banteay Meanchey Province",,St.9,Souphi,Kampong Svay,Serei Saophoan,Banteay Meanchey Province
"#, St., Dour Dantrei, Kampong Thkov, Kralanh, Siemreap Province",#,St.,Dour Dantrei,Kampong Thkov,Kralanh,Siemreap Province
"#, St., Chrey, Kandaek, Prasat Bakong, Siemreap Province",#,St.,Chrey,Kandaek,Prasat Bakong,Siemreap Province
"#, St., L'ak, Kandaek, Prasat Bakong, Siemreap Province",#,St.,L'ak,Kandaek,Prasat Bakong,Siemreap Province
"#n/a, St.n/a, Kandaek, Prasat Bakong, Siemreap Province",#n/a,St.n/a,,Kandaek,Prasat Bakong,Siemreap Province
"Chres, Kandaek, Prasat Bakong, Siemreap Province",,,Chres,Kandaek,Prasat Bakong,Siemreap Province
"Chrey, Kandaek, Prasat Bakong, Siemreap Province",,,Chrey,Kandaek,Prasat Bakong,Siemreap Province
"Kouk Thlok, Kandaek, Prasat Bakong, Siemreap Province",,,Kouk Thlok,Kandaek,Prasat Bakong,Siemreap Province
"Kouk Tnaot, Kandaek, Prasat Bakong, Siemreap Province",,,Kouk Tnaot,Kandaek,Prasat Bakong,Siemreap Province
"L'ak, Kandaek, Prasat Bakong, Siemreap Province",,,L'ak,Kandaek,Prasat Bakong,Siemreap Province
"Trang, Kandaek, Prasat Bakong, Siemreap Province",,,Trang,Kandaek,Prasat Bakong,Siemreap Province
"Damnak Trach, Kandaol, Tuek Chhou, Kampot Province",,,Damnak Trach,Kandaol,Tuek Chhou,Kampot Province
"St.road 123, Haknuman, Kandoeng, Bati, Takeo Province",,St.road 123,Haknuman,Kandoeng,Bati,Takeo Province
"Kanhcham Khor, Kanhcham, Pea Reang, Prey Veng Province",,,Kanhcham Khor,Kanhcham,Pea Reang,Prey Veng Province
"#45E, St.1, Kol, Kantaok, Kamboul, Phnom Penh Capital",#45E,St.1,Kol,Kantaok,Kamboul,Phnom Penh Capital
"#48c, St.St02, Kol, Kantaok, Kamboul, Phnom Penh Capital",#48c,St.St02,Kol,Kantaok,Kamboul,Phnom Penh Capital
"#01E0, St.09, Trapeang Kol, Kantaok, Kamboul, Phnom Penh Capital",#01E0,St.09,Trapeang Kol,Kantaok,Kamboul,Phnom Penh Capital
"#46, St.03, Trapeang Kol, Kantaok, Kamboul, Phnom Penh Capital",#46,St.03,Trapeang Kol,Kantaok,Kamboul,Phnom Penh Capital
"Kantaok Cheung, Kantaok, Kamboul, Phnom Penh Capital",,,Kantaok Cheung,Kantaok,Kamboul,Phnom Penh Capital
"Kantaok Tboung, Kantaok, Kamboul, Phnom Penh Capital",,,Kantaok Tboung,Kantaok,Kamboul,Phnom Penh Capital
"Tram Sloek, Kantaok, Kamboul, Phnom Penh Capital",,,Tram Sloek,Kantaok,Kamboul,Phnom Penh Capital
"Kantaok, Kamboul, Phnom Penh Capital",,,,Kantaok,Kamboul,Phnom Penh Capital
"Kantreang, Kantreang, Prasat Bakong, Siemreap Province",,,Kantreang,Kantreang,Prasat Bakong,Siemreap Province
"Sret Khang Kaeut, Kantreang, Prasat Bakong, Siemreap Province",,,Sret Khang Kaeut,Kantreang,Prasat Bakong,Siemreap Province
"Trapeang Thnal, Kantreang, Prasat Bakong, Siemreap Province",,,Trapeang Thnal,Kantreang,Prasat Bakong,Siemreap Province
"Kantreang, Prasat Bakong, Siemreap Province",,,,Kantreang,Prasat Bakong,Siemreap Province
"St.#7, Chrava, Kantuot, Chetr Borei, Kratie Province",,St.#7,Chrava,Kantuot,Chetr Borei,Kratie Province
"#NA, St.NA, Kaoh Peam Reang, Kaoh Chek, Peam Chor, Prey Veng Province",#NA,St.NA,Kaoh Peam Reang,Kaoh Chek,Peam Chor,Prey Veng Province
"Svay Chuor, Kaoh Khael, S'ang, Kandal Province",,,Svay Chuor,Kaoh Khael,S'ang,Kandal Province
"Kaoh Reah Leu, Kaoh Reah, Lvea Aem, Kandal Province",,,Kaoh Reah Leu,Kaoh Reah,Lvea Aem,Kandal Province
"#, St., Kaoh Roka, Peam Chor, Prey Veng Province",#,St.,,Kaoh Roka,Peam Chor,Prey Veng Province
"Kaoh Rung, Kaoh Rung, Preah Sihanouk Province",,,,Kaoh Rung,Kaoh Rung,Preah Sihanouk Province
"Kbal Romeas, Sesan, Stung Treng Province",,,,Kbal Romeas,Sesan,Stung Treng Province
"St., Kandal, Kbal Trach, Krakor, Pursat Province",,St.,Kandal,Kbal Trach,Krakor,Pursat Province
"Kandal, Kbal Trach, Krakor, Pursat Province",,,Kandal,Kbal Trach,Krakor,Pursat Province
"Samraong, Kbal Trach, Krakor, Pursat Province",,,Samraong,Kbal Trach,Krakor,Pursat Province
"Trapeang Rumdenh, Kbal Trach, Krakor, Pursat Province",,,Trapeang Rumdenh,Kbal Trach,Krakor,Pursat Province
"Krasang Doh Laeung, Kbal Tuek, Tuek Phos, Kampong Chhnang Province",,,Krasang Doh Laeung,Kbal Tuek,Tuek Phos,Kampong Chhnang Province
"Thnal Kaeng, Kbal Tuek, Tuek Phos, Kampong Chhnang Province",,,Thnal Kaeng,Kbal Tuek,Tuek Phos,Kampong Chhnang Province
"Kbal Tuek, Tuek Phos, Kampong Chhnang Province",,,,Kbal Tuek,Tuek Phos,Kampong Chhnang Province
"Kdei Doung, Kampong Svay, Kampong Thom Province",,,,Kdei Doung,Kampong Svay,Kampong Thom Province
"St.1701, Ta Koy, Kdol Doun Teav, Battambang, Battambang Province",,St.1701,Ta Koy,Kdol Doun Teav,Battambang,Battambang Province
"Kboun, Khchas, Soutr Nikom, Siemreap Province",,,Kboun,Khchas,Soutr Nikom,Siemreap Province
"Banla S'et, Khmuonh, Saensokh, Phnom Penh Capital",,,Banla S'et,Khmuonh,Saensokh,Phnom Penh Capital
"Khmuonh, Saensokh, Phnom Penh Capital",,,,Khmuonh,Saensokh,Phnom Penh Capital
"Khnar Pou, Soutr Nikom, Siemreap Province",,,,Khnar Pou,Soutr Nikom,Siemreap Province
"Kaoh Krabei, Khnar Totueng, Bakan, Pursat Province",,,Kaoh Krabei,Khnar Totueng,Bakan,Pursat Province
"Kaoh Svay, Khnar Totueng, Bakan, Pursat Province",,,Kaoh Svay,Khnar Totueng,Bakan,Pursat Province
"Kaoh Voat, Khnar Totueng, Ta Lou Senchey, Pursat Province",,,Kaoh Voat,Khnar Totueng,Ta Lou Senchey,Pursat Province
"Khnat, Khnat, Puok, Siemreap Province",,,Khnat,Khnat,Puok,Siemreap Province
"Khsam, Kampong Chhnang, Kampong Chhnang Province",,,,Khsam,Kampong Chhnang,Kampong Chhnang Province
"St.National Road 1440, Kakab, Khsem Khsant, Odongk, Kampong Speu Province",,St.National Road 1440,Kakab,Khsem Khsant,Odongk,Kampong Speu Province
"St.Risedent Road, Kakab, Khsem Khsant, Odongk, Kampong Speu Province",,St.Risedent Road,Kakab,Khsem Khsant,Odongk,Kampong Speu Province
"#0, St.0, Khsem Khsant, Odongk, Kampong Speu Province",#0,St.0,,Khsem Khsant,Odongk,Kampong Speu Province
"Kakab, Khsem Khsant, Odongk, Kampong Speu Province",,,Kakab,Khsem Khsant,Odongk,Kampong Speu Province
"Khsem Khsant, Odongk, Kampong Speu Province",,,,Khsem Khsant,Odongk,Kampong Speu Province
"Samrang, Khsuem, Snuol, Kratie Province",,,Samrang,Khsuem,Snuol,Kratie Province
"Khvan, Khtum Krang, Samraong Tong, Kampong Speu Province",,,Khvan,Khtum Krang,Samraong Tong,Kampong Speu Province
"Khun Ream, Banteay Srei, Siemreap Province",,,,Khun Ream,Banteay Srei,Siemreap Province
"Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh Capital",,,,Kilomaetr Lekh Prammuoy,Russey Keo,Phnom Penh Capital
"#NA, St.St Betong, Phsar Trapeang Kraloeng, Kiri Voan, Phnum Sruoch, Kampong Speu Province",#NA,St.St Betong,Phsar Trapeang Kraloeng,Kiri Voan,Phnum Sruoch,Kampong Speu Province
"Phsar Trapeang Kraloeng, Kiri Voan, Phnum Sruoch, Kampong Speu Province",,,Phsar Trapeang Kraloeng,Kiri Voan,Phnum Sruoch,Kampong Speu Province
"Kok Chak, Siem Reap, Siemreap Province",,,,Kok Chak,Siem Reap,Siemreap Province
"Chanlak, Kokir, Kien Svay, Kandal Province",,,Chanlak,Kokir,Kien Svay,Kandal Province
"#B6, St.Betong, Kokir Thum, Kokir Thum, Kien Svay, Kandal Province",#B6,St.Betong,Kokir Thum,Kokir Thum,Kien Svay,Kandal Province
"Komar Reachea, Bati, Takeo Province",,,,Komar Reachea,Bati,Takeo Province
"Kong Noy, Kong Noy, Dangkao, Phnom Penh Capital",,,Kong Noy,Kong Noy,Dangkao,Phnom Penh Capital
"Serei Sambatt, Kong Noy, Dangkao, Phnom Penh Capital",,,Serei Sambatt,Kong Noy,Dangkao,Phnom Penh Capital
"Kong Noy, Dangkao, Phnom Penh Capital",,,,Kong Noy,Dangkao,Phnom Penh Capital
"Popel Pok, Kouk Banteay, Rolea B'ier, Kampong Chhnang Province",,,Popel Pok,Kouk Banteay,Rolea B'ier,Kampong Chhnang Province
"St.42P, Roung Chakr, Kouk Khleang, Saensokh, Phnom Penh Capital",,St.42P,Roung Chakr,Kouk Khleang,Saensokh,Phnom Penh Capital
"Damnak, Kouk Khleang, Saensokh, Phnom Penh Capital",,,Damnak,Kouk Khleang,Saensokh,Phnom Penh Capital
"Kouk Khleang, Saensokh, Phnom Penh Capital",,,,Kouk Khleang,Saensokh,Phnom Penh Capital
"#F28, St.BY, Khmer Leu, Kouk Roka, Praek Pnov, Phnom Penh Capital",#F28,St.BY,Khmer Leu,Kouk Roka,Praek Pnov,Phnom Penh Capital
"#100E1E2, St.C, Phlu Ph'aem, Kouk Roka, Praek Pnov, Phnom Penh Capital",#100E1E2,St.C,Phlu Ph'aem,Kouk Roka,Praek Pnov,Phnom Penh Capital
"Kouk Roka, Praek Pnov, Phnom Penh Capital",,,,Kouk Roka,Praek Pnov,Phnom Penh Capital
"#, St., Krabau, Kamchay Mear, Prey Veng Province",#,St.,,Krabau,Kamchay Mear,Prey Veng Province
"St.#73, Trapeang Pring, Kracheh, Kracheh, Kratie Province",,St.#73,Trapeang Pring,Kracheh,Kracheh,Kratie Province
"Kracheh, Kracheh, Kracheh, Kratie Province",,,Kracheh,Kracheh,Kracheh,Kratie Province
"Bos Lveae, Kraek, Ponhea Kraek, Tboung Khmum Province",,,Bos Lveae,Kraek,Ponhea Kraek,Tboung Khmum Province
"#_, St.Lom, Vimean Trong, Krang Thnong, Saensokh, Phnom Penh Capital",#_,St.Lom,Vimean Trong,Krang Thnong,Saensokh,Phnom Penh Capital
"Krang Angkrang, Krang Thnong, Saensokh, Phnom Penh Capital",,,Krang Angkrang,Krang Thnong,Saensokh,Phnom Penh Capital
"Prey Khla, Krang Thnong, Saensokh, Phnom Penh Capital",,,Prey Khla,Krang Thnong,Saensokh,Phnom Penh Capital
"Tbaeng, Krang Thnong, Bati, Takeo Province",,,Tbaeng,Krang Thnong,Bati,Takeo Province
"Trapeang Cheung Srok, Krang Thnong, Saensokh, Phnom Penh Capital",,,Trapeang Cheung Srok,Krang Thnong,Saensokh,Phnom Penh Capital
"Vimean Trong, Krang Thnong, Saensokh, Phnom Penh Capital",,,Vimean Trong,Krang Thnong,Saensokh,Phnom Penh Capital
"Krang Thnong, Saensokh, Phnom Penh Capital",,,,Krang Thnong,Saensokh,Phnom Penh Capital
"Krang Thnong, Bati, Takeo Province",,,,Krang Thnong,Bati,Takeo Province
"Kandal, Kranhung, Kamchay Mear, Prey Veng Province",,,Kandal,Kranhung,Kamchay Mear,Prey Veng Province
"#N/A, St., Phsar Thmei, Kumru, Thma Puok, Banteay Meanchey Province",#N/A,St.,Phsar Thmei,Kumru,Thma Puok,Banteay Meanchey Province
"Ta Leak Khang Cheung, Kus, Tram Kak, Takeo Province",,,Ta Leak Khang Cheung,Kus,Tram Kak,Takeo Province
"Trapeang Pring, Kus, Tram Kak, Takeo Province",,,Trapeang Pring,Kus,Tram Kak,Takeo Province
"St., Kus, Tram Kak, Takeo Province",,St.,,Kus,Tram Kak,Takeo Province
"Ou Romeat, Labansiek, Ban Lung, Ratanak Kiri Province",,,Ou Romeat,Labansiek,Ban Lung,Ratanak Kiri Province
"Pech Ban, Leach, Phnum Kravanh, Pursat Province",,,Pech Ban,Leach,Phnum Kravanh,Pursat Province
"#, St., Leang Dai, Leang Dai, Angkor Thum, Siemreap Province",#,St.,Leang Dai,Leang Dai,Angkor Thum,Siemreap Province
"#, St., Samraong, Leang Dai, Angkor Thum, Siemreap Province",#,St.,Samraong,Leang Dai,Angkor Thum,Siemreap Province
"#712A95, Phum Pir, lek Muoy, Preah Sihanouk, Preah Sihanouk Province",#712A95,,Phum Pir,lek Muoy,Preah Sihanouk,Preah Sihanouk Province
"Phum Muoy, lek Muoy, Preah Sihanouk, Preah Sihanouk Province",,,Phum Muoy,lek Muoy,Preah Sihanouk,Preah Sihanouk Province
"Phum Pir, lek Muoy, Preah Sihanouk, Preah Sihanouk Province",,,Phum Pir,lek Muoy,Preah Sihanouk,Preah Sihanouk Province
"lek Muoy, Preah Sihanouk, Preah Sihanouk Province",,,,lek Muoy,Preah Sihanouk,Preah Sihanouk Province
"Phsar Trach, Longveaek, Kampong Tralach, Kampong Chhnang Province",,,Phsar Trach,Longveaek,Kampong Tralach,Kampong Chhnang Province
"Trapeang Samraong, Longveaek, Kampong Tralach, Kampong Chhnang Province",,,Trapeang Samraong,Longveaek,Kampong Tralach,Kampong Chhnang Province
"St., Lumchang, Lumchang, Samraong, Takeo Province",,St.,Lumchang,Lumchang,Samraong,Takeo Province
"Kandal, Lumpong, Bati, Takeo Province",,,Kandal,Lumpong,Bati,Takeo Province
"#, St.59, Thmei, Malai, Malai, Banteay Meanchey Province",#,St.59,Thmei,Malai,Malai,Banteay Meanchey Province
"#, St., Veal Hat, Malai, Malai, Banteay Meanchey Province",#,St.,Veal Hat,Malai,Malai,Banteay Meanchey Province
"#, St.59, Malai, Malai, Banteay Meanchey Province",#,St.59,,Malai,Malai,Banteay Meanchey Province
"Prey Kao, Me Pring, Batheay, Kampong Cham Province",,,Prey Kao,Me Pring,Batheay,Kampong Cham Province
"Banteay Ruessei, Mean Chey, Prasat Bakong, Siemreap Province",,,Banteay Ruessei,Mean Chey,Prasat Bakong,Siemreap Province
"Doun Num, Mean Chey, Prasat Bakong, Siemreap Province",,,Doun Num,Mean Chey,Prasat Bakong,Siemreap Province
"St.NR7, Chi Peh, Memot, Memot, Tboung Khmum Province",,St.NR7,Chi Peh,Memot,Memot,Tboung Khmum Province
"St.NR7, Memot, Memot, Tboung Khmum Province",,St.NR7,,Memot,Memot,Tboung Khmum Province
"Mittapheap, Prampir Meakkakra, Phnom Penh Capital",,,,Mittapheap,Prampir Meakkakra,Phnom Penh Capital
"Pu Tang, Monourom, Saen Monourom, Mondul Kiri Province",,,Pu Tang,Monourom,Saen Monourom,Mondul Kiri Province
"Monourom, Thpong, Kampong Speu Province",,,,Monourom,Thpong,Kampong Speu Province
"Monourom, Saen Monourom, Mondul Kiri Province",,,,Monourom,Saen Monourom,Mondul Kiri Province
"#, St., Preaek Thum, Neak Loeang, Peam Ro, Prey Veng Province",#,St.,Preaek Thum,Neak Loeang,Peam Ro,Prey Veng Province
"St.310, Preaek Thum, Neak Loeang, Peam Ro, Prey Veng Province",,St.310,Preaek Thum,Neak Loeang,Peam Ro,Prey Veng Province
"#, St., Neak Loeang, Peam Ro, Prey Veng Province",#,St.,,Neak Loeang,Peam Ro,Prey Veng Province
"St.Road31, Slaeng Kaong, Nhaeng Nhang, Tram Kak, Takeo Province",,St.Road31,Slaeng Kaong,Nhaeng Nhang,Tram Kak,Takeo Province
"Nimitt Pir, Nimitt, Paoy Paet, Banteay Meanchey Province",,,Nimitt Pir,Nimitt,Paoy Paet,Banteay Meanchey Province
"#50, St.Polaris, Boeng Chhuk, Nirouth, Chbar Ampov, Phnom Penh Capital",#50,St.Polaris,Boeng Chhuk,Nirouth,Chbar Ampov,Phnom Penh Capital
"#4c, Ta Ngov, Nirouth, Chbar Ampov, Phnom Penh Capital",#4c,,Ta Ngov,Nirouth,Chbar Ampov,Phnom Penh Capital
"#, St., Nirouth, Chbar Ampov, Phnom Penh Capital",#,St.,,Nirouth,Chbar Ampov,Phnom Penh Capital
"Boeng Chhuk, Nirouth, Chbar Ampov, Phnom Penh Capital",,,Boeng Chhuk,Nirouth,Chbar Ampov,Phnom Penh Capital
"Ruessei Sras, Nirouth, Chbar Ampov, Phnom Penh Capital",,,Ruessei Sras,Nirouth,Chbar Ampov,Phnom Penh Capital
"Ta Ngov Kandal, Nirouth, Chbar Ampov, Phnom Penh Capital",,,Ta Ngov Kandal,Nirouth,Chbar Ampov,Phnom Penh Capital
"Nirouth, Chbar Ampov, Phnom Penh Capital",,,,Nirouth,Chbar Ampov,Phnom Penh Capital
"#, St., Anhchanh, Nokor Thum, Siem Reap, Siemreap Province",#,St.,Anhchanh,Nokor Thum,Siem Reap,Siemreap Province
"Treang, Nokor Thum, Siem Reap, Siemreap Province",,,Treang,Nokor Thum,Siem Reap,Siemreap Province
"Balat, Norea, Sangkae, Battambang Province",,,Balat,Norea,Sangkae,Battambang Province
"Andoung Pring, OMal, Battambang, Battambang Province",,,Andoung Pring,OMal,Battambang,Battambang Province
"#6, St.Nakri, Trong Moan, Ou Baek K'am, Saensokh, Phnom Penh Capital",#6,St.Nakri,Trong Moan,Ou Baek K'am,Saensokh,Phnom Penh Capital
"Orchide, Ou Baek K'am, Saensokh, Phnom Penh Capital",,,Orchide,Ou Baek K'am,Saensokh,Phnom Penh Capital
"Ou Baek K'am, Saensokh, Phnom Penh Capital",,,,Ou Baek K'am,Saensokh,Phnom Penh Capital
"#, St.700 Krovat Krong, Ang, Ou Char, Battambang, Battambang Province",#,St.700 Krovat Krong,Ang,Ou Char,Battambang,Battambang Province
"St.409, Ang, Ou Char, Battambang, Battambang Province",,St.409,Ang,Ou Char,Battambang,Battambang Province
"Ang, Ou Char, Battambang, Battambang Province",,,Ang,Ou Char,Battambang,Battambang Province
"Ou Char, Battambang, Battambang Province",,,,Ou Char,Battambang,Battambang Province
"St.05 New, Ou Dambang Pir, Sangkae, Battambang Province",,St.05 New,,Ou Dambang Pir,Sangkae,Battambang Province
"#N/A, St.N/A, Ou Krasar, Kaeb, Kep Province",#N/A,St.N/A,,Ou Krasar,Kaeb,Kep Province
"Damnak Chambak, Ou Krasar, Kaeb, Kep Province",,,Damnak Chambak,Ou Krasar,Kaeb,Kep Province
"Ou Ruessei Ti Muoy, Ou Ruessei, Kracheh, Kratie Province",,,Ou Ruessei Ti Muoy,Ou Ruessei,Kracheh,Kratie Province
"Ou Ruessei Ti Pir, Ou Ruessei, Kracheh, Kratie Province",,,Ou Ruessei Ti Pir,Ou Ruessei,Kracheh,Kratie Province
"Srae Sdau, Ou Ruessei, Kracheh, Kratie Province",,,Srae Sdau,Ou Ruessei,Kracheh,Kratie Province
"#4 E1, St.161, Phum 2, Ou Ruessei Ti Pir, Prampir Meakkakra, Phnom Penh Capital",#4 E1,St.161,Phum 2,Ou Ruessei Ti Pir,Prampir Meakkakra,Phnom Penh Capital
"Phum 8, Ou Ruessei Ti Pir, Prampir Meakkakra, Phnom Penh Capital",,,Phum 8,Ou Ruessei Ti Pir,Prampir Meakkakra,Phnom Penh Capital
"Ou Ruessei Ti Pir, Prampir Meakkakra, Phnom Penh Capital",,,,Ou Ruessei Ti Pir,Prampir Meakkakra,Phnom Penh Capital
"Ou Ach Kok, Ou Sandan, Krakor, Pursat Province",,,Ou Ach Kok,Ou Sandan,Krakor,Pursat Province
"St.LUM, Ruessei Muoy Kump, Ou Saray, Tram Kak, Takeo Province",,St.LUM,Ruessei Muoy Kump,Ou Saray,Tram Kak,Takeo Province
"St.Betong, Ruessei Muoy Kump, Ou Saray, Tram Kak, Takeo Province",,St.Betong,Ruessei Muoy Kump,Ou Saray,Tram Kak,Takeo Province
"#C13, St.Betung, Trapeang Areaks, Ovlaok, Kamboul, Phnom Penh Capital",#C13,St.Betung,Trapeang Areaks,Ovlaok,Kamboul,Phnom Penh Capital
"#F4, Trapeang Areaks, Ovlaok, Kamboul, Phnom Penh Capital",#F4,,Trapeang Areaks,Ovlaok,Kamboul,Phnom Penh Capital
"Kong Yu, Pa Te, Ou Ya Dav, Ratanak Kiri Province",,,Kong Yu,Pa Te,Ou Ya Dav,Ratanak Kiri Province
"Paoy Paet, Paoy Paet, Banteay Meanchey Province",,,,Paoy Paet,Paoy Paet,Banteay Meanchey Province
"Peam Chi Kang, Kang Meas, Kampong Cham Province",,,,Peam Chi Kang,Kang Meas,Kampong Cham Province
"Kaoh Reah Leu, Peam Oknha Ong, Lvea Aem, Kandal Province",,,Kaoh Reah Leu,Peam Oknha Ong,Lvea Aem,Kandal Province
"Preaek Ta Ong Ti Muoy, Peam Oknha Ong, Lvea Aem, Kandal Province",,,Preaek Ta Ong Ti Muoy,Peam Oknha Ong,Lvea Aem,Kandal Province
"Peam Oknha Ong, Lvea Aem, Kandal Province",,,,Peam Oknha Ong,Lvea Aem,Kandal Province
"Kok, Peani, Kampong Tralach, Kampong Chhnang Province",,,Kok,Peani,Kampong Tralach,Kampong Chhnang Province
"Phnom Touch, Pech Chenda, Phnum Proek, Battambang Province",,,Phnom Touch,Pech Chenda,Phnum Proek,Battambang Province
"Phnom Touch, Pech Chenda, Phnum Proek, Battambang Province",,,Phnom Touch,Pech Chenda,Phnum Proek,Battambang Province
"Angk Samnang, Peuk, Angk Snuol, Kandal Province",,,Angk Samnang,Peuk,Angk Snuol,Kandal Province
"Preah Mlob, Pheari Mean Chey, Basedth, Kampong Speu Province",,,Preah Mlob,Pheari Mean Chey,Basedth,Kampong Speu Province
"#, St., Phleung Chheh Roteh, Kamboul, Phnom Penh Capital",#,St.,,Phleung Chheh Roteh,Kamboul,Phnom Penh Capital
"#, St.Betong, Phleung Chheh Roteh, Kamboul, Phnom Penh Capital",#,St.Betong,,Phleung Chheh Roteh,Kamboul,Phnom Penh Capital
"#0, St.1019, Phnom Penh Thmei, Phnom Penh Thmei, Saensokh, Phnom Penh Capital",#0,St.1019,Phnom Penh Thmei,Phnom Penh Thmei,Saensokh,Phnom Penh Capital
"Phnom Penh Thmei, Phnom Penh Thmei, Saensokh, Phnom Penh Capital",,,Phnom Penh Thmei,Phnom Penh Thmei,Saensokh,Phnom Penh Capital
"Tumnob, Phnom Penh Thmei, Saensokh, Phnom Penh Capital",,,Tumnob,Phnom Penh Thmei,Saensokh,Phnom Penh Capital
"Phnom Penh Thmei, Saensokh, Phnom Penh Capital",,,,Phnom Penh Thmei,Saensokh,Phnom Penh Capital
"#N/A, St.1315, Bang Bat, Phnom Prasat, Kampong Trach, Kampot Province",#N/A,St.1315,Bang Bat,Phnom Prasat,Kampong Trach,Kampot Province
"St.st. lum, Phnum Bat, Ponhea Lueu, Kandal Province",,St.st. lum,,Phnum Bat,Ponhea Lueu,Kandal Province
"Rohal, Phnum Lieb, Preah Netr Preah, Banteay Meanchey Province",,,Rohal,Phnum Lieb,Preah Netr Preah,Banteay Meanchey Province
"Ou Thom, Phnum Proek, Phnum Proek, Battambang Province",,,Ou Thom,Phnum Proek,Phnum Proek,Battambang Province
"Phnum Proek, Phnum Proek, Battambang Province",,,,Phnum Proek,Phnum Proek,Battambang Province
"Phsar Chhnang, Phsar Chhnang, Kampong Chhnang, Kampong Chhnang Province",,,Phsar Chhnang,Phsar Chhnang,Kampong Chhnang,Kampong Chhnang Province
"#,  St.Lum, Srah Pou, Phsar Daek, Ponhea Lueu, Kandal Province",#,St.Lum,Srah Pou,Phsar Daek,Ponhea Lueu,Kandal Province
"Mlu Meun, Phsar Daek, Ponhea Lueu, Kandal Province",,,Mlu Meun,Phsar Daek,Ponhea Lueu,Kandal Province
"Phum 1, Phsar Daeum Thkov, Chamkar Mon, Phnom Penh Capital",,,Phum 1,Phsar Daeum Thkov,Chamkar Mon,Phnom Penh Capital
"Phsar Daeum Thkov, Doun Penh, Phnom Penh Capital",,,,Phsar Daeum Thkov,Doun Penh,Phnom Penh Capital
"Phsar Depou Ti Bei, Tuol Kouk, Phnom Penh Capital",,,,Phsar Depou Ti Bei,Tuol Kouk,Phnom Penh Capital
"Kilou Lekh Buon, Phsar Kandal, Paoy Paet, Banteay Meanchey Province",,,Kilou Lekh Buon,Phsar Kandal,Paoy Paet,Banteay Meanchey Province
"Phsar Kandal, Phsar Kandal, Paoy Paet, Banteay Meanchey Province",,,Phsar Kandal,Phsar Kandal,Paoy Paet,Banteay Meanchey Province
"Phsar Kandal, Paoy Paet, Banteay Meanchey Province",,,,Phsar Kandal,Paoy Paet,Banteay Meanchey Province
"#, St., Dangkear, Phteah Prey, Pursat, Pursat Province",#,St.,Dangkear,Phteah Prey,Pursat,Pursat Province
"#, St.national road 5, Ou Sdau, Phteah Prey, Pursat, Pursat Province",#,St.national road 5,Ou Sdau,Phteah Prey,Pursat,Pursat Province
"#, St.national road 5, Phteah Prey, Pursat, Pursat Province",#,St.national road 5,,Phteah Prey,Pursat,Pursat Province
"#C34, St.BT, Roteang Tbaung, Phum Thum, Kien Svay, Kandal Province",#C34,St.BT,Roteang Tbaung,Phum Thum,Kien Svay,Kandal Province
"Phum Thum, Kien Svay, Kandal Province",,,,Phum Thum,Kien Svay,Kandal Province
"St., Beng, Pneay, Samraong Tong, Kampong Speu Province",,St.,Beng,Pneay,Samraong Tong,Kampong Speu Province
"St.National Road 1440, Tang Ta Lat, Pneay, Samraong Tong, Kampong Speu Province",,St.National Road 1440,Tang Ta Lat,Pneay,Samraong Tong,Kampong Speu Province
"Pneay, Samraong Tong, Kampong Speu Province",,,,Pneay,Samraong Tong,Kampong Speu Province
"#L2, St.07A, Prey Kei Ka, Pong Tuek, Dangkao, Phnom Penh Capital",#L2,St.07A,Prey Kei Ka,Pong Tuek,Dangkao,Phnom Penh Capital
"#A50, St.BT, Trang Daok, Pong Tuek, Dangkao, Phnom Penh Capital",#A50,St.BT,Trang Daok,Pong Tuek,Dangkao,Phnom Penh Capital
"#D 52, Trang Daok, Pong Tuek, Dangkao, Phnom Penh Capital",#D 52,,Trang Daok,Pong Tuek,Dangkao,Phnom Penh Capital
"Pong Tuek, Pong Tuek, Dangkao, Phnom Penh Capital",,,Pong Tuek,Pong Tuek,Dangkao,Phnom Penh Capital
"Trapeang Sala, Pong Tuek, Dangkao, Phnom Penh Capital",,,Trapeang Sala,Pong Tuek,Dangkao,Phnom Penh Capital
"Pong Tuek, Damnak Chang'aeur, Kep Province",,,,Pong Tuek,Damnak Chang'aeur,Kep Province
